x,y,tipo
1926.4,3060.4,ruta
2408.0,2650.4,ruta
3079.2,2373.4,ruta
3326.6,1931.1,ruta
1800.0,346.4,cobertura
2600.0,346.4,cobertura
3400.0,346.4,cobertura
1200.0,1039.2,cobertura
2000.0,1039.2,cobertura
2800.0,1039.2,cobertura
3600.0,1039.2,cobertura
4400.0,1039.2,cobertura
1000.0,1732.1,cobertura
1800.0,1732.1,cobertura
2600.0,1732.1,cobertura
4200.0,1732.1,cobertura
400.0,2424.9,cobertura
1200.0,2424.9,cobertura
3600.0,2424.9,cobertura
4400.0,2424.9,cobertura
1000.0,3117.7,cobertura
2600.0,3117.7,cobertura
3400.0,3117.7,cobertura
4200.0,3117.7,cobertura
5000.0,3117.7,cobertura
1200.0,3810.5,cobertura
2000.0,3810.5,cobertura
2800.0,3810.5,cobertura
3600.0,3810.5,cobertura
4400.0,3810.5,cobertura
1000.0,4503.3,cobertura
1800.0,4503.3,cobertura
2600.0,4503.3,cobertura
3400.0,4503.3,cobertura
5000.0,4503.3,cobertura
